timeago,scale,city,region
"
      2021-04-18 13:24:33 UTC
    ",5.1 magnitude,Hakha,Chin
"
      2021-02-25 07:50:20 UTC
    ",4.5 magnitude,Mogok,Mandalay
"
      2021-02-25 02:34:26 UTC
    ",4.9 magnitude,Shwebo,Sagain
"
      2021-02-24 18:16:46 UTC
    ",4.5 magnitude,Teknāf,Chittagong
"
      2021-02-20 00:01:26 UTC
    ",4.1 magnitude,Mawlaik,Sagain
"
      2021-02-05 11:47:47 UTC
    ",4.4 magnitude,Taunggyi,Shan
"
      2021-01-31 20:04:24 UTC
    ",4.1 magnitude,Yairipok,Manipur
"
      2021-01-22 21:14:43 UTC
    ",4.3 magnitude,Wāngjing,Manipur
"
      2021-01-17 13:42:51 UTC
    ",4.3 magnitude,Bhamo,Kachin
"
      2021-01-16 20:48:13 UTC
    ",4.3 magnitude,Khawhai,Mizoram
"
      2020-12-24 08:09:48 UTC
    ",4.9 magnitude,Myitkyina,Kachin
"
      2020-12-12 04:14:10 UTC
    ",4.2 magnitude,Falam,Chin
"
      2020-12-08 05:14:35 UTC
    ",5.1 magnitude,Monywa,Sagain
"
      2020-11-21 04:49:33 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2020-11-14 08:50:26 UTC
    ",5.1 magnitude,Mawlaik,Sagain
"
      2020-11-06 03:06:50 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2020-10-24 03:21:03 UTC
    ",4.6 magnitude,Khagrachhari,Chittagong
"
      2020-10-10 17:38:00 UTC
    ",5.4 magnitude,Moirāng,Manipur
"
      2020-10-04 16:00:01 UTC
    ",4.3 magnitude,Yenangyaung,Magway
"
      2020-09-20 01:59:05 UTC
    ",5.0 magnitude,Falam,Chin
"
      2020-09-10 16:54:55 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2020-08-31 21:09:33 UTC
    ",4.9 magnitude,Phek,Manipur
"
      2020-08-30 01:47:38 UTC
    ",5.1 magnitude,Khagrachhari,Chittagong
"
      2020-08-27 13:17:20 UTC
    ",4.5 magnitude,North Vanlaiphai,Mizoram
"
      2020-08-27 12:07:15 UTC
    ",5.3 magnitude,North Vanlaiphai,Mizoram
"
      2020-08-24 13:05:49 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2020-08-14 01:08:08 UTC
    ",4.4 magnitude,North Vanlaiphai,Mizoram
"
      2020-08-11 13:57:53 UTC
    ",4.3 magnitude,Churāchāndpur,Manipur
"
      2020-08-07 17:36:20 UTC
    ",4.3 magnitude,Wāngjing,Manipur
"
      2020-07-28 14:38:50 UTC
    ",4.6 magnitude,Khawhai,Mizoram
"
      2020-07-18 18:38:20 UTC
    ",4.5 magnitude,Pyin Oo Lwin,Mandalay
"
      2020-07-17 16:33:53 UTC
    ",5.3 magnitude,North Vanlaiphai,Mizoram
"
      2020-07-17 10:26:38 UTC
    ",4.3 magnitude,North Vanlaiphai,Mizoram
"
      2020-07-09 08:58:12 UTC
    ",4.6 magnitude,North Vanlaiphai,Mizoram
"
      2020-07-05 11:56:34 UTC
    ",4.8 magnitude,North Vanlaiphai,Mizoram
"
      2020-07-03 09:05:43 UTC
    ",4.6 magnitude,North Vanlaiphai,Mizoram
"
      2020-06-28 05:54:37 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2020-06-26 16:05:44 UTC
    ",4.6 magnitude,Chauk,Magway
"
      2020-06-24 19:44:44 UTC
    ",4.8 magnitude,North Vanlaiphai,Mizoram
"
      2020-06-24 02:32:35 UTC
    ",4.5 magnitude,North Vanlaiphai,Mizoram
"
      2020-06-23 13:47:32 UTC
    ",3.6 magnitude,Darlawn,Mizoram
"
      2020-06-21 22:40:52 UTC
    ",5.6 magnitude,North Vanlaiphai,Mizoram
"
      2020-06-21 10:46:25 UTC
    ",5.1 magnitude,Darlawn,Mizoram
"
      2020-06-18 13:59:20 UTC
    ",4.8 magnitude,Monywa,Sagain
"
      2020-06-16 11:15:51 UTC
    ",4.8 magnitude,Pyay,Bago
"
      2020-06-14 05:35:32 UTC
    ",4.8 magnitude,Falam,Chin
"
      2020-06-14 02:39:47 UTC
    ",4.7 magnitude,Myitkyina,Kachin
"
      2020-06-02 01:44:10 UTC
    ",4.6 magnitude,Lashio,Shan
"
      2020-05-25 14:42:17 UTC
    ",5.1 magnitude,Kakching,Manipur
"
      2020-05-17 04:32:15 UTC
    ",4.7 magnitude,Yamethin,Mandalay
"
      2020-05-11 22:39:35 UTC
    ",4.7 magnitude,Yairipok,Manipur
"
      2020-05-05 22:15:04 UTC
    ",4.1 magnitude,Chauk,Magway
"
      2020-04-24 05:15:24 UTC
    ",4.5 magnitude,Mogok,Mandalay
"
      2020-04-22 18:47:00 UTC
    ",3.1 magnitude,Kanbe,Yangon
"
      2020-04-16 11:45:23 UTC
    ",5.9 magnitude,Falam,Chin
"
      2020-04-15 19:36:20 UTC
    ",4.2 magnitude,Sittwe,Rakhine
"
      2020-04-02 17:35:32 UTC
    ",4.2 magnitude,Myitkyina,Kachin
"
      2020-03-05 06:59:54 UTC
    ",4.4 magnitude,Myitkyina,Kachin
"
      2020-03-04 00:20:02 UTC
    ",4.8 magnitude,Bhamo,Kachin
"
      2020-03-03 09:18:54 UTC
    ",4.7 magnitude,Pathein,Ayeyarwady
"
      2020-02-11 17:52:46 UTC
    ",4.6 magnitude,Pathein,Ayeyarwady
"
      2020-02-09 19:10:46 UTC
    ",4.6 magnitude,Yenangyaung,Magway
"
      2020-02-04 14:10:23 UTC
    ",4.5 magnitude,Nay Pyi Taw,Mandalay
"
      2020-01-31 10:55:21 UTC
    ",4.5 magnitude,Myitkyina,Kachin
"
      2020-01-23 09:48:05 UTC
    ",4.9 magnitude,Sittwe,Rakhine
"
      2020-01-14 01:24:59 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2019-12-25 07:04:18 UTC
    ",4.6 magnitude,Mogok,Mandalay
"
      2019-12-16 03:10:29 UTC
    ",4.4 magnitude,Churāchāndpur,Manipur
"
      2019-12-07 03:25:06 UTC
    ",4.1 magnitude,Minbu,Magway
"
      2019-12-02 01:12:44 UTC
    ",4.6 magnitude,Falam,Chin
"
      2019-11-28 14:39:15 UTC
    ",5.2 magnitude,Mogok,Mandalay
"
      2019-11-26 11:05:57 UTC
    ",5.4 magnitude,Thayetmyo,Magway
"
      2019-11-26 09:36:12 UTC
    ",4.7 magnitude,Thayetmyo,Magway
"
      2019-11-26 03:53:46 UTC
    ",4.6 magnitude,Kakching,Manipur
"
      2019-11-23 22:43:46 UTC
    ",4.1 magnitude,Bhamo,Kachin
"
      2019-11-12 15:24:18 UTC
    ",3.4 magnitude,Yangon,Yangon
"
      2019-10-22 01:30:40 UTC
    ",4.9 magnitude,Myaydo,Magway
"
      2019-10-18 16:48:10 UTC
    ",4.9 magnitude,Mawlaik,Sagain
"
      2019-10-16 18:45:42 UTC
    ",4.4 magnitude,Mawlaik,Sagain
"
      2019-10-03 06:24:44 UTC
    ",4.9 magnitude,Imphal,Manipur
"
      2019-09-22 02:31:23 UTC
    ",4.5 magnitude,Churāchāndpur,Manipur
"
      2019-09-10 20:18:44 UTC
    ",4.6 magnitude,Mawlamyinegyunn,Ayeyarwady
"
      2019-09-06 10:09:48 UTC
    ",4.8 magnitude,Chauk,Magway
"
      2019-09-03 19:18:39 UTC
    ",4.5 magnitude,Phek,Manipur
"
      2019-08-31 15:09:21 UTC
    ",5.5 magnitude,Shwebo,Sagain
"
      2019-08-26 02:49:15 UTC
    ",4.7 magnitude,Khonsa,Arunachal Pradesh
"
      2019-08-18 06:28:35 UTC
    ",4.9 magnitude,Churāchāndpur,Manipur
"
      2019-08-18 03:38:15 UTC
    ",4.7 magnitude,Pyay,Bago
